,Country,x,y
0,Argentina,38,-214
1,Belize,-89,55
2,Bolivia,16,-142
3,Brasil,71,-96
4,Canada,-58,280
5,Chile,10,-248
6,Colombia,-23,-13
7,Costa Rica,-87,14
8,Cuba,-49,85
9,Dominican Republic,45,60
10,Ecuador,-50,-50
11,El Salvador,-108,35
12,Greenland,192,331
13,Guatemala,-109,47
14,Guyana,35,-5
15,Guyane,60,-32
16,Haiti,-29,68
17,Honduras,-70,43
18,Jamaica,-53,60
19,Mexico,-140,111
20,Nicaragua,-62,30
21,Panama,-59,1
22,Paraguay,46,-169
23,Peru,-46,-97
24,Suriname,52,-17
25,United States,-78,193
26,Uruguay,76,-235
27,Venezuela,10,8
