,Country,x,y
0,Afghanistan,-152,-27
1,Armenia,-285,43
2,Azerbaijan,-260,35
3,Bangladesh,39,-118
4,Bhutan,27,-90
5,Brunei,224,-239
6,Cambodia,145,-187
7,China,86,-7
8,Georgia,-273,60
9,India,-86,-144
10,Indonesia,215,-300
11,Iran,-248,-25
12,Iraq,-306,-21
13,Israel,-360,-2
14,Japan,313,85
15,Jordan,-355,-16
16,Kazakhstan,-124,87
17,Kuwait,-281,-48
18,Kyrgyzstan,-78,28
19,Laos,110,-140
20,Lebanon,-342,12
21,Malaysia,133,-264
22,Mongolia,57,81
23,Myanmar,65,-139
24,Nepal,-35,-82
25,North Korea,250,72
26,Oman,-261,-142
27,Pakistan,-155,-76
28,Philippines,271,-137
29,Qatar,-267,-86
30,Saudi Arabia,-340,-84
31,Singapore,149,-288
32,South Korea,268,45
33,Sri Lanka,-40,-251
34,Syria,-332,20
35,Tajikistan,-105,1
36,Thailand,103,-159
37,Timor Leste,332,-317
38,Turkey,-364,61
39,Turkmenistan,-180,22
40,U.A.E.,-245,-103
41,Uzbekistan,-173,45
42,Vietnam,170,-168
43,Yemen,-324,-156
44,Russia,-29,191
45,Taiwan,248,-64
46,Hong Kong,184,-130
