,Country,x,y
0,Albania,32,-248
1,Andorra,-224,-187
2,Armenia,381,-197
3,Austria,-36,-114
4,Belarus,129,10
5,Belgium,-138,-45
6,Bosnia-Herzegovina,-4,-185
7,Bulgaria,117,-200
8,Croatia,-05,-159
9,Cyprus,246,-345
10,Denmark,-70,62
11,Estonia,98,101
12,Finland,90,197
13,France,-201,-98
14,Georgia,361,-169
15,Germany,-91,-29
16,Greece,66,-276
17,Hungary,25,-133
18,Iceland,-263,293
19,Ireland,-276,57
20,Italy,-97,-150
21,Kosovo,55,-217
22,Latvia,99,70
23,Liechtenstein,-105,-120
24,Lithuania,87,34
25,Luxembourg,-141,-65
26,Malta,-50,-338
27,Moldova,155,-116
28,Monaco,-130,-180
29,Montenegro,15,-210
30,Netherlands,-108,-15
31,North Macedonia,52,-237
32,Poland,19,-27
33,Portugal,-363,-188
34,Romania,86,-142
35,Russia,272,125
36,San Marino,-77,-187
37,Serbia,45,-180
38,Slovakia,26,-93
39,Slovenia,-47,-150
40,Spain,-302,-205
41,Sweden,-14,124
42,Switzerland,-130,-123
43,Turkey,262,-248
44,Ukraine,182,-57
45,United Kingdom,-190,25
46,Vatican City,-75,-223
47,Czech Republic,-11,-68
48,Norway,-70,166
49,Azerbaijan,410,-183
50,Kazakhstan,391,-15
